bugid,when,what,removed,added
1478590,2018-07-26 02:31:30 PDT,Comment 2 Tag,,mozreview-review
1478590,2018-07-26 02:54:50 PDT,CC,,pascalc
1478590,2018-07-26 02:54:50 PDT,status-firefox-esr52,---,unaffected
1478590,2018-07-26 02:54:50 PDT,status-firefox-esr60,---,unaffected
1478590,2018-07-26 02:54:50 PDT,status-firefox61,---,unaffected
1478590,2018-07-26 02:54:50 PDT,status-firefox62,---,unaffected
1478590,2018-07-26 02:54:50 PDT,tracking-firefox63,---,+
1478590,2018-07-26 02:54:50 PDT,status-firefox63,---,affected
1478590,2018-07-26 15:06:01 PDT,Status,NEW,RESOLVED
1478590,2018-07-26 15:06:01 PDT,Resolution,---,FIXED
1478590,2018-07-26 15:06:01 PDT,Target Milestone,---,Firefox 63
1478590,2018-07-26 15:06:01 PDT,Closed,,2018/7/26 22:06
1478590,2018-07-26 15:06:01 PDT,status-firefox63,affected,fixed
1478590,2018-07-26 15:06:01 PDT,Comment 5 Tag,,bugherder
1478735,2018-08-08 16:42:09 PDT,CC,Unnamed: 3,"kbrosnan, nchen"
1478735,2018-08-08 16:42:09 PDT,Blocks,,1393128
1478735,2018-08-08 16:42:09 PDT,Flags,,needinfo?(nchen)
1478735,2018-08-16 13:13:54 PDT,Flags,needinfo?(nchen),
1478735,2018-08-16 14:20:35 PDT,CC,,sdaswani
1478735,2018-08-16 14:20:35 PDT,Flags,,needinfo?(sdaswani)
1478735,2018-08-18 13:28:24 PDT,Whiteboard,,--do_not_change--[priority:high]
1478735,2018-08-18 13:28:24 PDT,Flags,needinfo?(sdaswani),
1478735,2018-09-06 10:22:09 PDT,CC,,vlad.baicu
1478735,2018-09-06 10:22:09 PDT,Assignee,nobody,vlad.baicu
1478735,2018-09-07 06:33:04 PDT,CC,,andrei.a.lazar
1478735,2018-09-07 06:33:04 PDT,Assignee,vlad.baicu,andrei.a.lazar
1478735,2018-09-25 23:31:56 PDT,Depends on,,1375035
1478735,2018-09-28 02:47:12 PDT,Keywords,,regression
1478735,2018-09-28 02:47:12 PDT,CC,,mcastelluccio
1478735,2018-10-03 07:25:40 PDT,Keywords,,checkin-needed
1478735,2018-10-03 08:46:13 PDT,Keywords,checkin-needed,
1478735,2018-10-03 10:21:58 PDT,Flags,,needinfo?(andrei.a.lazar)
1478735,2018-10-08 08:53:29 PDT,Keywords,,checkin-needed
1478735,2018-10-08 11:40:01 PDT,Keywords,checkin-needed,
1478735,2018-10-10 02:50:49 PDT,Keywords,,checkin-needed
1478735,2018-10-10 02:50:49 PDT,Flags,needinfo?(andrei.a.lazar),
1478735,2018-10-10 04:12:07 PDT,Keywords,checkin-needed,
1478735,2018-10-10 09:20:51 PDT,Status,NEW,RESOLVED
1478735,2018-10-10 09:20:51 PDT,Resolution,---,FIXED
1478735,2018-10-10 09:20:51 PDT,Target Milestone,---,Firefox 64
1478735,2018-10-10 09:20:51 PDT,Closed,,2018/10/10 16:20
1478735,2018-10-10 09:20:51 PDT,status-firefox64,---,fixed
1478735,2018-10-10 09:20:51 PDT,Comment 11 Tag,,bugherder
1478735,2018-10-11 07:05:58 PDT,CC,,ryanvm
1478735,2018-10-11 07:05:58 PDT,status-firefox62,---,wontfix
1478735,2018-10-11 07:05:58 PDT,status-firefox63,---,wontfix
1478735,2019-03-31 00:09:57 PDT,CC,,esigra
1478843,2018-07-27 02:08:31 PDT,CC,Unnamed: 3,msvr
1478843,2018-07-27 02:51:08 PDT,CC,,"drno, gijskruitbosch+bugs, padenot"
1478843,2018-07-27 02:51:08 PDT,Flags,,"needinfo?(s.h.h.n.j.k), needinfo?(padenot), needinfo?(drno)"
1478843,2018-07-27 03:44:26 PDT,Flags,needinfo?(s.h.h.n.j.k),
1478843,2018-07-27 10:04:57 PDT,CC,,"jduell.mcbugs, nalexander"
1478843,2018-07-27 10:04:57 PDT,Flags,needinfo?(padenot),"needinfo?(nalexander), needinfo?(jduell.mcbugs)"
1478843,2018-07-27 10:11:08 PDT,CC,,snorp
1478843,2018-07-27 10:11:08 PDT,Flags,needinfo?(nalexander),needinfo?(snorp)
1478843,2018-07-27 10:52:25 PDT,CC,,"dd.mozilla, valentin.gosu"
1478843,2018-07-27 10:52:25 PDT,Flags,needinfo?(drno),"needinfo?(valentin.gosu), needinfo?(dd.mozilla)"
1478843,2018-07-27 10:52:45 PDT,Rank,,7
1478843,2018-07-27 10:52:45 PDT,Priority,--,P1
1478843,2018-07-27 10:52:45 PDT,Status,UNCONFIRMED,NEW
1478843,2018-07-27 10:52:45 PDT,Ever confirmed,0,1
1478843,2018-07-27 11:21:18 PDT,CC,,"annevk, bzbarsky, continuation"
1478843,2018-07-27 11:28:43 PDT,Keywords,,"csectype-sop, sec-high"
1478843,2018-07-27 12:43:22 PDT,CC,,astevenson
1478843,2018-07-27 12:48:21 PDT,CC,,"miket, twisniewski"
1478843,2018-07-27 19:36:57 PDT,Flags,,sec-bounty?
1478843,2018-07-29 07:27:10 PDT,CC,,ckerschb
1478843,2018-07-29 07:27:10 PDT,Flags,needinfo?(dd.mozilla),needinfo?(ckerschb)
1478843,2018-07-30 02:44:36 PDT,Flags,needinfo?(valentin.gosu),
1478843,2018-07-30 04:39:40 PDT,Flags,needinfo?(ckerschb),
1478843,2018-07-30 10:15:09 PDT,Flags,needinfo?(snorp),
1478843,2018-08-13 02:14:28 PDT,CC,,tanvi
1478843,2018-08-13 02:14:28 PDT,Flags,,needinfo?(tanvi)
1478843,2018-08-16 06:12:46 PDT,CC,,jyavenard
1478843,2018-08-17 11:45:44 PDT,CC,,dveditz
1478843,2018-08-27 11:07:22 PDT,See Also,,1486335
1478843,2018-08-27 11:56:09 PDT,Flags,,needinfo?(dveditz)
1478843,2018-08-28 13:53:08 PDT,Flags,"needinfo?(tanvi), needinfo?(dveditz)",
1478843,2018-08-29 17:59:54 PDT,CC,,mreavy
1478843,2018-08-30 19:22:36 PDT,CC,,sdaswani
1478843,2018-10-01 06:51:49 PDT,Attachment #8995893  Flags,,review?(jyavenard)
1478843,2018-10-02 03:10:41 PDT,Attachment #8995893  Flags,review?(jyavenard),review+
1478843,2018-10-02 04:13:09 PDT,Assignee,nobody,padenot
1478843,2018-10-02 05:22:53 PDT,Flags,,needinfo?(padenot)
1478843,2018-10-02 06:29:31 PDT,Flags,needinfo?(padenot),
1478843,2018-10-02 09:21:54 PDT,Status,NEW,RESOLVED
1478843,2018-10-02 09:21:54 PDT,Group,firefox-core-security,core-security-release
1478843,2018-10-02 09:21:54 PDT,Resolution,---,FIXED
1478843,2018-10-02 09:21:54 PDT,Target Milestone,---,Firefox 64
1478843,2018-10-02 09:21:54 PDT,Closed,,2018/10/2 16:21
1478843,2018-10-02 09:21:54 PDT,status-firefox64,---,fixed
1478843,2018-10-03 09:03:21 PDT,CC,,ryanvm
1478843,2018-10-03 09:03:21 PDT,tracking-firefox-esr60,---,63+
1478843,2018-10-03 09:03:21 PDT,status-firefox-esr60,---,affected
1478843,2018-10-03 09:03:21 PDT,status-firefox62,---,wontfix
1478843,2018-10-03 09:03:21 PDT,tracking-firefox63,---,+
1478843,2018-10-03 09:03:21 PDT,status-firefox63,---,affected
1478843,2018-10-03 09:03:21 PDT,tracking-firefox64,---,+
1478843,2018-10-04 07:11:18 PDT,CC,,fbraun
1478843,2018-10-04 19:19:19 PDT,Flags,,needinfo?(padenot)
1478843,2018-10-08 04:31:10 PDT,Flags,needinfo?(padenot),
1478843,2018-10-08 04:31:10 PDT,Attachment #8995893  Flags,,approval-mozilla-beta?
